City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,suva,-18.1416,178.4415,302.86,70,75,3.09,FJ,1737171401
153,guardo,42.7897,-4.8482,272.55,63,0,0.98,ES,1737171402
154,fale old settlement,-9.3852,-171.2468,301.72,70,81,5.12,TK,1737171403
155,zaragoza,41.6561,-0.8773,275.94,60,0,2.24,ES,1737171404
156,saint-pierre,-21.3393,55.4781,299.97,50,0,3.09,RE,1737170750
157,gonzaga,44.9498,10.8209,271.49,89,0,2.84,IT,1737171406
158,kavieng,-2.5744,150.7967,301.54,72,99,2.5,PG,1737171407
159,magadan,59.5667,150.8,258.37,93,100,2.22,RU,1737171408
160,al mayadin,35.0209,40.4535,281.28,61,0,3.85,SY,1737171409
161,penzance,50.1186,-5.5371,280.79,82,23,5.62,GB,1737171411
162,tangua,-22.7303,-42.7142,296.38,91,97,1.18,BR,1737171412
163,andergrove,-21.0833,149.1833,301.66,60,50,2.9,AU,1737171413
164,namsos,64.4662,11.4957,277.1,70,100,7.2,NO,1737171131
165,harnai,30.1005,67.9374,282.8,37,45,0.89,PK,1737171415
166,odder,55.9731,10.153,278.58,92,91,6.01,DK,1737171416
167,chibougamau,49.9168,-74.3659,264.94,86,100,6.69,CA,1737171482
168,tosontsengel,48.7567,98.2839,255.46,81,22,0.85,MN,1737171677
169,maceio,-9.6658,-35.7353,297.84,88,20,1.54,BR,1737171458
170,whitehorse,60.7161,-135.0538,258.72,84,100,9.26,CA,1737171674
171,kabansk,52.0486,106.6528,269.09,76,60,1.4,RU,1737171683
172,queenstown,-31.8976,26.8753,290.32,77,0,1.54,ZA,1737171615
173,tiksi,71.6872,128.8694,241.2,99,99,1.96,RU,1737171685
174,bridlington,54.0831,-0.1919,278.82,60,61,2.24,GB,1737171686
175,st. john's,47.5649,-52.7093,271.53,84,100,2.06,CA,1737171687
176,puerto leguizamo,-0.1934,-74.7819,295.46,65,39,1.35,CO,1737171688
177,dryden,49.7833,-92.7503,258.31,72,75,3.6,CA,1737171689
178,igreja,15.0333,-24.3333,288.9,72,0,7.29,CV,1737171690
179,flin flon,54.7682,-101.865,247.39,87,100,5.6,CA,1737171691
180,ghat,24.9647,10.1728,281.61,51,99,0.7,LY,1737171692
181,eyl,7.9803,49.8164,294.58,70,55,7.82,SO,1737171693
182,keflavik,64.0049,-22.5624,274.39,100,100,10.29,IS,1737171694
183,aykhal,66.0,111.5,244.89,97,95,3.54,RU,1737171695
184,aasiaat,68.7098,-52.8699,259.02,95,100,3.17,GL,1737171697
185,mahina,-17.5065,-149.489,303.02,62,75,2.57,PF,1737171698
186,yudong,29.385,106.5194,284.59,71,100,1.95,CN,1737171699
187,buzuluk,52.7807,52.2635,260.09,98,90,1.67,RU,1737171700
188,lihue,21.9789,-159.3672,296.92,64,0,7.2,US,1737171701
189,pitimbu,-7.4706,-34.8086,299.28,75,99,2.89,BR,1737171702
190,funafuti,-8.5243,179.1942,303.15,70,40,0.0,TV,1737171703
191,vilhena,-12.7406,-60.1458,293.03,98,100,1.0,BR,1737171705
192,tura,25.5198,90.2201,296.78,38,53,0.81,IN,1737171706
193,fort bragg,35.139,-79.006,279.0,65,0,0.0,US,1737171707
194,south hedland,-20.4089,118.5983,300.11,89,75,9.77,AU,1737171709
195,anna regina,7.2644,-58.5077,297.21,75,97,2.82,GY,1737171710
196,nuku'alofa,-21.1333,-175.2,304.34,66,20,4.63,TO,1737171711
197,prince rupert,54.3161,-130.3201,276.98,87,88,6.69,CA,1737171712
198,itoman,26.1247,127.6694,293.37,42,20,5.14,JP,1737171713
199,belomorsk,64.5232,34.7668,275.55,88,100,5.32,RU,1737171714
200,kapa'a,22.0752,-159.319,297.33,77,0,7.2,US,1737171715
201,lebu,-37.6167,-73.65,286.95,80,0,8.48,CL,1737171716
202,uyar,55.81,94.3153,269.12,96,100,1.83,RU,1737171717
203,encamp,42.5333,1.6333,268.38,69,3,1.76,AD,1737171718
204,quellon,-43.1167,-73.6167,282.99,92,2,3.44,CL,1737171591
205,tateyama,34.9833,139.8667,281.58,40,47,3.45,JP,1737171722
206,pont rouge,48.8833,-72.0825,267.17,90,100,5.65,CA,1737171723
207,kudat,6.8837,116.8477,303.31,84,20,3.6,MY,1737171725
208,meersburg,47.6942,9.2711,272.86,88,100,2.68,DE,1737171726
209,brookings,44.3114,-96.7984,262.07,79,40,9.26,US,1737171694
210,badger,64.8,-147.5333,262.79,82,40,0.0,US,1737171728
211,new norfolk,-42.7826,147.0587,296.32,27,0,2.81,AU,1737171729
212,kotlas,61.2611,46.6556,273.96,96,100,5.05,RU,1737171730
213,copala,16.65,-98.9833,297.26,78,1,2.5,MX,1737171731
214,vila franca do campo,37.7167,-25.4333,290.38,94,76,3.24,PT,1737171732
215,scottburgh,-30.2867,30.7532,293.19,84,11,4.37,ZA,1737171734
216,zakamensk,50.3741,103.2863,264.41,62,22,1.39,RU,1737171735
217,kristiansund,63.1115,7.732,279.33,75,100,5.66,NO,1737171736
218,seybaplaya,19.65,-90.6667,292.85,87,1,2.79,MX,1737171737
219,qarqaraly,49.4058,75.4742,261.19,94,100,3.38,KZ,1737171738
220,al hillah,32.4801,44.4353,283.29,62,0,4.76,IQ,1737171739
221,niquero,20.0431,-77.5828,296.4,80,9,3.63,CU,1737171740
222,port hedland,-20.3167,118.5667,300.18,89,75,9.77,AU,1737171741
223,jalor,25.35,72.6167,290.43,36,3,1.7,IN,1737171742
224,menaka,15.9182,2.4022,293.91,15,100,4.37,ML,1737171743
225,tralee,52.2704,-9.7026,280.5,89,94,3.16,IE,1737171744
226,miri,4.4148,114.0089,303.23,74,40,3.09,MY,1737171745
227,vic-en-bigorre,43.3833,0.05,274.19,80,0,0.68,FR,1737171746
228,college,64.8569,-147.8028,262.84,82,75,0.0,US,1737171748
229,atafu village,-8.5421,-172.5159,301.58,76,79,6.99,TK,1737171749
230,mount isa,-20.7333,139.5,311.02,8,0,5.66,AU,1737171750
231,vanino,49.0869,140.2543,262.58,64,1,0.72,RU,1737171751
232,mindelo,16.8901,-24.9804,293.9,56,40,10.29,CV,1737171752
233,katsuren-haebaru,26.3369,127.8719,293.37,41,0,2.57,JP,1737171754
234,santa ana,33.7456,-117.8678,285.98,79,0,0.0,US,1737171755
235,smiltene,57.4244,25.9016,276.53,92,66,6.49,LV,1737171757
236,ati,13.2154,18.3353,295.44,28,26,4.83,TD,1737171758
237,acapulco de juarez,16.8634,-99.8901,300.05,74,0,3.09,MX,1737171759
238,dali,25.7,100.1833,288.63,34,3,2.64,CN,1737171761
239,formosa,-26.1775,-58.1781,301.14,70,10,3.6,AR,1737171762
240,babolsar,36.7025,52.6576,281.32,75,6,2.1,IR,1737171530
241,guaruja,-23.9931,-46.2564,297.53,26,100,1.27,BR,1737171574
242,murun-kuren,49.6342,100.1625,258.47,75,17,1.16,MN,1737171765
243,tual,-5.6667,132.75,301.7,70,100,1.15,ID,1737171766
244,sawakin,19.1059,37.3321,297.68,77,72,6.15,SD,1737171767
245,afif,23.9065,42.9172,284.44,38,41,3.09,SA,1737171768
246,pangai,-19.8,-174.35,303.21,70,40,2.57,TO,1737171769
247,taro,-8.3862,115.28,302.2,60,74,1.4,ID,1737171771
248,labrador city,52.9463,-66.9114,260.1,85,100,2.57,CA,1737171772
249,zheleznogorsk-ilimskiy,56.5768,104.1217,261.54,97,95,1.46,RU,1737171773
250,touros,-5.1989,-35.4608,299.14,76,100,3.21,BR,1737171774
251,port macquarie,-31.4333,152.9167,297.63,78,100,2.68,AU,1737171775
252,codrington,-38.2667,141.9667,302.79,28,0,6.28,AU,1737171776
253,kenai,60.5544,-151.2583,273.23,88,100,5.66,US,1737171777
254,kiamba,5.9894,124.6242,303.45,65,39,3.93,PH,1737171778
255,kalach,50.4258,41.0261,274.9,97,100,5.38,RU,1737171779
256,colonia,50.9333,6.95,273.18,90,100,3.09,DE,1737171532
257,argo,37.6333,22.7333,280.05,81,32,2.81,GR,1737171781
258,yuzhno-kurilsk,44.0306,145.8556,270.88,82,35,11.81,RU,1737171782
259,san julian,21.0167,-102.1667,287.62,35,15,3.3,MX,1737171784
260,ulladulla,-35.35,150.4667,291.86,90,100,7.32,AU,1737171785
261,as sulayyil,20.4607,45.5779,285.01,31,0,3.72,SA,1737171786
262,kasongo,-4.45,26.6667,291.9,97,100,0.92,CD,1737171787
263,nizhneudinsk,54.9076,99.0276,268.29,83,100,1.36,RU,1737171788
264,sayat,38.7839,63.8803,275.46,64,78,1.86,TM,1737171789
265,narvik,68.4384,17.4272,273.92,98,100,13.89,NO,1737171790
